# Generated by tools/mirror-roundtrip/exposure.py --write; do not edit.
# provider buses from fullRv64imSoundEnsemble: 10,102,103,107,133,5000
# wirable: 141
air	class	total	exposed-to-build	exposed-to-root	tied-not-composed	declared-residual
Arith	air-value	1	1	1	0	0
Arith	challenge	15	14	15	0	0
Arith	pure-base-field	49	0	49	0	0
Binary	air-value	1	1	1	0	0
Binary	challenge	6	1	6	5	0
Binary	pure-base-field	7	0	7	0	0
BinaryAdd	air-value	1	1	1	0	0
BinaryAdd	challenge	4	3	4	0	0
BinaryAdd	pure-base-field	4	0	4	0	0
BinaryExtension	air-value	1	1	1	0	0
BinaryExtension	challenge	7	1	7	5	0
Main	air-value	10	1	10	0	0
Main	challenge	104	96	104	1	0
Main	pure-base-field	30	0	30	0	0
Mem	air-value	16	0	16	0	0
Mem	challenge	9	0	5	0	0
Mem	pure-base-field	9	0	9	0	0
MemAlign	air-value	1	1	1	0	0
MemAlign	challenge	6	4	5	0	0
MemAlign	pure-base-field	33	0	33	0	0
MemAlignByte	air-value	1	1	1	0	0
MemAlignByte	challenge	6	4	6	0	0
MemAlignByte	pure-base-field	9	0	9	0	0
MemAlignReadByte	air-value	1	1	1	0	0
MemAlignReadByte	challenge	5	3	5	0	0
MemAlignReadByte	pure-base-field	4	0	4	0	0
MemAlignWriteByte	air-value	1	1	1	0	0
MemAlignWriteByte	challenge	7	7	7	0	0
MemAlignWriteByte	pure-base-field	7	0	7	0	0

constraint	class	exposed-to-build	exposed-to-root	tied-not-composed	declared-residual	link	buses
BinaryAdd.3	pure-base-field	0	1	0	0	-	-
BinaryAdd.4	challenge	1	1	0	0	link_BinaryAdd_4	103
BinaryAdd.5	challenge	0	1	0	0	link_BinaryAdd_5	103,5000
BinaryAdd.6	challenge	1	1	0	0	link_BinaryAdd_6	103
BinaryAdd.7	challenge	1	1	0	0	-	-
BinaryAdd.8	air-value	1	1	0	0	link_BinaryAdd_8	-
BinaryExtension.0	challenge	0	1	1	0	link_BinaryExtension_0	124
BinaryExtension.1	challenge	0	1	1	0	link_BinaryExtension_1	124
BinaryExtension.2	challenge	0	1	1	0	link_BinaryExtension_2	124
BinaryExtension.3	challenge	0	1	1	0	link_BinaryExtension_3	102,124
BinaryExtension.4	challenge	0	1	0	0	link_BinaryExtension_4	5000
BinaryExtension.5	challenge	0	1	1	0	link_BinaryExtension_5	124
BinaryExtension.6	challenge	1	1	0	0	-	-
BinaryExtension.7	air-value	1	1	0	0	link_BinaryExtension_7	-
Main.0	air-value	0	1	0	0	-	-
Main.1	pure-base-field	0	1	0	0	-	-
Main.2	pure-base-field	0	1	0	0	-	-
Main.3	air-value	0	1	0	0	-	-
Main.4	air-value	0	1	0	0	-	-
Main.5	pure-base-field	0	1	0	0	-	-
Main.6	pure-base-field	0	1	0	0	-	-
Main.7	pure-base-field	0	1	0	0	-	-
Main.8	pure-base-field	0	1	0	0	-	-
Main.9	air-value	0	1	0	0	-	-
Main.10	air-value	0	1	0	0	-	-
Main.11	pure-base-field	0	1	0	0	-	-
Main.12	pure-base-field	0	1	0	0	-	-
Main.13	pure-base-field	0	1	0	0	-	-
Main.14	pure-base-field	0	1	0	0	-	-
Main.15	pure-base-field	0	1	0	0	-	-
Main.16	pure-base-field	0	1	0	0	-	-
Main.17	pure-base-field	0	1	0	0	-	-
Main.18	pure-base-field	0	1	0	0	-	-
Main.19	air-value	0	1	0	0	-	-
Main.20	air-value	0	1	0	0	-	-
Main.21	air-value	0	1	0	0	-	-
Main.22	pure-base-field	0	1	0	0	-	-
Main.23	pure-base-field	0	1	0	0	-	-
Main.24	pure-base-field	0	1	0	0	-	-
Main.25	pure-base-field	0	1	0	0	-	-
Main.26	pure-base-field	0	1	0	0	-	-
Main.27	pure-base-field	0	1	0	0	-	-
Main.28	pure-base-field	0	1	0	0	-	-
Main.29	pure-base-field	0	1	0	0	-	-
Main.30	pure-base-field	0	1	0	0	-	-
Main.31	pure-base-field	0	1	0	0	-	-
Main.32	pure-base-field	0	1	0	0	-	-
Main.33	pure-base-field	0	1	0	0	-	-
Main.34	pure-base-field	0	1	0	0	-	-
Main.35	pure-base-field	0	1	0	0	-	-
Main.36	pure-base-field	0	1	0	0	-	-
Main.37	pure-base-field	0	1	0	0	-	-
Main.38	air-value	0	1	0	0	-	-
Main.39	challenge	0	1	0	0	link_Main_39	10
Main.40	challenge	0	1	0	0	link_Main_40	10,102
Main.41	challenge	0	1	0	0	link_Main_41	102
Main.42	challenge	0	1	1	0	link_Main_42	7890
Main.43	challenge	0	1	0	0	link_Main_43	10
Main.44	challenge	0	1	0	0	link_Main_44	10
Main.45	challenge	0	1	0	0	link_Main_45	5000
Main.46	challenge	0	1	0	0	link_Main_46	10
Main.47	challenge	1	1	0	0	link_Main_47	1000
Main.48	challenge	1	1	0	0	link_Main_48	1000
Main.49	challenge	1	1	0	0	link_Main_49	102
Main.50	challenge	1	1	0	0	link_Main_50	10
Main.51	challenge	1	1	0	0	link_Main_51	10
Main.52	challenge	1	1	0	0	link_Main_52	102
Main.53	challenge	1	1	0	0	link_Main_53	10
Main.54	challenge	1	1	0	0	link_Main_54	10
Main.55	challenge	1	1	0	0	link_Main_55	102
Main.56	challenge	1	1	0	0	link_Main_56	10
Main.57	challenge	1	1	0	0	link_Main_57	10
Main.58	challenge	1	1	0	0	link_Main_58	102
Main.59	challenge	1	1	0	0	link_Main_59	10
Main.60	challenge	1	1	0	0	link_Main_60	10
Main.61	challenge	1	1	0	0	link_Main_61	102
Main.62	challenge	1	1	0	0	link_Main_62	10
Main.63	challenge	1	1	0	0	link_Main_63	10
Main.64	challenge	1	1	0	0	link_Main_64	102
Main.65	challenge	1	1	0	0	link_Main_65	10
Main.66	challenge	1	1	0	0	link_Main_66	10
Main.67	challenge	1	1	0	0	link_Main_67	102
Main.68	challenge	1	1	0	0	link_Main_68	10
Main.69	challenge	1	1	0	0	link_Main_69	10
Main.70	challenge	1	1	0	0	link_Main_70	102
Main.71	challenge	1	1	0	0	link_Main_71	10
Main.72	challenge	1	1	0	0	link_Main_72	10
Main.73	challenge	1	1	0	0	link_Main_73	102
Main.74	challenge	1	1	0	0	link_Main_74	10
Main.75	challenge	1	1	0	0	link_Main_75	10
Main.76	challenge	1	1	0	0	link_Main_76	102
Main.77	challenge	1	1	0	0	link_Main_77	10
Main.78	challenge	1	1	0	0	link_Main_78	10
Main.79	challenge	1	1	0	0	link_Main_79	102
Main.80	challenge	1	1	0	0	link_Main_80	10
Main.81	challenge	1	1	0	0	link_Main_81	10
Main.82	challenge	1	1	0	0	link_Main_82	102
Main.83	challenge	1	1	0	0	link_Main_83	10
Main.84	challenge	1	1	0	0	link_Main_84	10
Main.85	challenge	1	1	0	0	link_Main_85	102
Main.86	challenge	1	1	0	0	link_Main_86	10
Main.87	challenge	1	1	0	0	link_Main_87	10
Main.88	challenge	1	1	0	0	link_Main_88	102
Main.89	challenge	1	1	0	0	link_Main_89	10
Main.90	challenge	1	1	0	0	link_Main_90	10
Main.91	challenge	1	1	0	0	link_Main_91	102
Main.92	challenge	1	1	0	0	link_Main_92	10
Main.93	challenge	1	1	0	0	link_Main_93	10
Main.94	challenge	1	1	0	0	link_Main_94	102
Main.95	challenge	1	1	0	0	link_Main_95	10
Main.96	challenge	1	1	0	0	link_Main_96	10
Main.97	challenge	1	1	0	0	link_Main_97	102
Main.98	challenge	1	1	0	0	link_Main_98	10
Main.99	challenge	1	1	0	0	link_Main_99	10
Main.100	challenge	1	1	0	0	link_Main_100	102
Main.101	challenge	1	1	0	0	link_Main_101	10
Main.102	challenge	1	1	0	0	link_Main_102	10
Main.103	challenge	1	1	0	0	link_Main_103	102
Main.104	challenge	1	1	0	0	link_Main_104	10
Main.105	challenge	1	1	0	0	link_Main_105	10
Main.106	challenge	1	1	0	0	link_Main_106	102
Main.107	challenge	1	1	0	0	link_Main_107	10
Main.108	challenge	1	1	0	0	link_Main_108	10
Main.109	challenge	1	1	0	0	link_Main_109	102
Main.110	challenge	1	1	0	0	link_Main_110	10
Main.111	challenge	1	1	0	0	link_Main_111	10
Main.112	challenge	1	1	0	0	link_Main_112	102
Main.113	challenge	1	1	0	0	link_Main_113	10
Main.114	challenge	1	1	0	0	link_Main_114	10
Main.115	challenge	1	1	0	0	link_Main_115	102
Main.116	challenge	1	1	0	0	link_Main_116	10
Main.117	challenge	1	1	0	0	link_Main_117	10
Main.118	challenge	1	1	0	0	link_Main_118	102
Main.119	challenge	1	1	0	0	link_Main_119	10
Main.120	challenge	1	1	0	0	link_Main_120	10
Main.121	challenge	1	1	0	0	link_Main_121	102
Main.122	challenge	1	1	0	0	link_Main_122	10
Main.123	challenge	1	1	0	0	link_Main_123	10
Main.124	challenge	1	1	0	0	link_Main_124	102
Main.125	challenge	1	1	0	0	link_Main_125	10
Main.126	challenge	1	1	0	0	link_Main_126	10
Main.127	challenge	1	1	0	0	link_Main_127	102
Main.128	challenge	1	1	0	0	link_Main_128	10
Main.129	challenge	1	1	0	0	link_Main_129	10
Main.130	challenge	1	1	0	0	link_Main_130	102
Main.131	challenge	1	1	0	0	link_Main_131	10
Main.132	challenge	1	1	0	0	link_Main_132	10
Main.133	challenge	1	1	0	0	link_Main_133	102
Main.134	challenge	1	1	0	0	link_Main_134	10
Main.135	challenge	1	1	0	0	link_Main_135	10
Main.136	challenge	1	1	0	0	link_Main_136	102
Main.137	challenge	1	1	0	0	link_Main_137	10
Main.138	challenge	1	1	0	0	link_Main_138	10
Main.139	challenge	1	1	0	0	link_Main_139	102
Main.140	challenge	1	1	0	0	link_Main_140	10
Main.141	challenge	1	1	0	0	link_Main_141	10
Main.142	challenge	1	1	0	0	link_Main_142	106
Main.143	air-value	1	1	0	0	link_Main_143	-
Mem.0	air-value	0	1	0	0	-	-
Mem.1	air-value	0	1	0	0	-	-
Mem.2	air-value	0	1	0	0	-	-
Mem.3	pure-base-field	0	1	0	0	-	-
Mem.4	pure-base-field	0	1	0	0	-	-
Mem.5	pure-base-field	0	1	0	0	-	-
Mem.6	pure-base-field	0	1	0	0	-	-
Mem.7	pure-base-field	0	1	0	0	-	-
Mem.8	pure-base-field	0	1	0	0	-	-
Mem.9	air-value	0	1	0	0	-	-
Mem.10	air-value	0	1	0	0	-	-
Mem.11	air-value	0	1	0	0	-	-
Mem.12	air-value	0	1	0	0	-	-
Mem.13	air-value	0	1	0	0	-	-
Mem.14	air-value	0	1	0	0	-	-
Mem.15	air-value	0	1	0	0	-	-
Mem.16	air-value	0	1	0	0	-	-
Mem.17	air-value	0	1	0	0	-	-
Mem.18	pure-base-field	0	1	0	0	-	-
Mem.19	air-value	0	1	0	0	-	-
Mem.20	air-value	0	1	0	0	-	-
Mem.21	pure-base-field	0	1	0	0	-	-
Mem.22	air-value	0	1	0	0	-	-
Mem.23	pure-base-field	0	1	0	0	-	-
Mem.24	challenge	0	1	0	0	link_Mem_24	102,103
Mem.25	challenge	0	1	0	0	link_Mem_25	10
Mem.26	challenge	0	1	0	0	link_Mem_26	104
Mem.27	challenge	0	1	0	0	link_Mem_27	11
Mem.28	challenge	0	1	0	0	link_Mem_28	11
Mem.29	challenge	0	0	0	0	link_Mem_29	103
Mem.30	challenge	0	0	0	0	link_Mem_30	103
Mem.31	challenge	0	0	0	0	link_Mem_31	103
Mem.32	challenge	0	0	0	0	link_Mem_32	103
Mem.33	air-value	0	1	0	0	link_Mem_33	-
MemAlign.0	pure-base-field	0	1	0	0	-	-
MemAlign.1	pure-base-field	0	1	0	0	-	-
MemAlign.2	pure-base-field	0	1	0	0	-	-
MemAlign.3	pure-base-field	0	1	0	0	-	-
MemAlign.4	pure-base-field	0	1	0	0	-	-
MemAlign.5	pure-base-field	0	1	0	0	-	-
MemAlign.6	pure-base-field	0	1	0	0	-	-
MemAlign.7	pure-base-field	0	1	0	0	-	-
MemAlign.8	pure-base-field	0	1	0	0	-	-
MemAlign.9	pure-base-field	0	1	0	0	-	-
MemAlign.10	pure-base-field	0	1	0	0	-	-
MemAlign.11	pure-base-field	0	1	0	0	-	-
MemAlign.12	pure-base-field	0	1	0	0	-	-
MemAlign.13	pure-base-field	0	1	0	0	-	-
MemAlign.14	pure-base-field	0	1	0	0	-	-
MemAlign.15	pure-base-field	0	1	0	0	-	-
MemAlign.16	pure-base-field	0	1	0	0	-	-
MemAlign.17	pure-base-field	0	1	0	0	-	-
MemAlign.18	pure-base-field	0	1	0	0	-	-
MemAlign.19	pure-base-field	0	1	0	0	-	-
MemAlign.20	pure-base-field	0	1	0	0	-	-
MemAlign.21	pure-base-field	0	1	0	0	-	-
MemAlign.22	pure-base-field	0	1	0	0	-	-
MemAlign.23	pure-base-field	0	1	0	0	-	-
MemAlign.24	pure-base-field	0	1	0	0	-	-
MemAlign.25	pure-base-field	0	1	0	0	-	-
MemAlign.26	pure-base-field	0	1	0	0	-	-
MemAlign.27	pure-base-field	0	1	0	0	-	-
MemAlign.28	pure-base-field	0	1	0	0	-	-
MemAlign.29	pure-base-field	0	1	0	0	-	-
MemAlign.30	pure-base-field	0	1	0	0	-	-
MemAlign.31	pure-base-field	0	1	0	0	-	-
MemAlign.32	pure-base-field	0	1	0	0	-	-
MemAlign.33	challenge	1	1	0	0	link_MemAlign_33	107
MemAlign.34	challenge	1	1	0	0	link_MemAlign_34	107
MemAlign.35	challenge	1	1	0	0	link_MemAlign_35	107
MemAlign.36	challenge	0	0	0	0	link_MemAlign_36	107,133
MemAlign.37	challenge	0	1	0	0	link_MemAlign_37	10
MemAlign.38	challenge	1	1	0	0	link_MemAlign_38	107
MemAlign.39	air-value	1	1	0	0	link_MemAlign_39	-
MemAlignByte.0	pure-base-field	0	1	0	0	-	-
MemAlignByte.1	pure-base-field	0	1	0	0	-	-
MemAlignByte.2	pure-base-field	0	1	0	0	-	-
MemAlignByte.3	pure-base-field	0	1	0	0	-	-
MemAlignByte.4	pure-base-field	0	1	0	0	-	-
MemAlignByte.5	pure-base-field	0	1	0	0	-	-
MemAlignByte.6	pure-base-field	0	1	0	0	-	-
MemAlignByte.7	pure-base-field	0	1	0	0	-	-
MemAlignByte.8	pure-base-field	0	1	0	0	-	-
MemAlignByte.9	challenge	0	1	0	0	link_MemAlignByte_9	10
MemAlignByte.10	challenge	1	1	0	0	link_MemAlignByte_10	88,103
MemAlignByte.11	challenge	0	1	0	0	link_MemAlignByte_11	10
MemAlignByte.12	challenge	1	1	0	0	link_MemAlignByte_12	107
MemAlignByte.13	challenge	1	1	0	0	link_MemAlignByte_13	10
MemAlignByte.14	challenge	1	1	0	0	link_MemAlignByte_14	10
MemAlignByte.15	air-value	1	1	0	0	link_MemAlignByte_15	-
MemAlignReadByte.0	pure-base-field	0	1	0	0	-	-
MemAlignReadByte.1	pure-base-field	0	1	0	0	-	-
MemAlignReadByte.2	pure-base-field	0	1	0	0	-	-
MemAlignReadByte.3	pure-base-field	0	1	0	0	-	-
MemAlignReadByte.4	challenge	1	1	0	0	link_MemAlignReadByte_4	88,103
MemAlignReadByte.5	challenge	0	1	0	0	link_MemAlignReadByte_5	10
MemAlignReadByte.6	challenge	0	1	0	0	link_MemAlignReadByte_6	10
MemAlignReadByte.7	challenge	1	1	0	0	link_MemAlignReadByte_7	10
MemAlignReadByte.8	challenge	1	1	0	0	link_MemAlignReadByte_8	10
MemAlignReadByte.9	air-value	1	1	0	0	link_MemAlignReadByte_9	-
MemAlignWriteByte.0	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.1	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.2	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.3	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.4	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.5	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.6	pure-base-field	0	1	0	0	-	-
MemAlignWriteByte.7	challenge	1	1	0	0	-	-
MemAlignWriteByte.8	challenge	1	1	0	0	link_MemAlignWriteByte_8	88,103
MemAlignWriteByte.9	challenge	1	1	0	0	link_MemAlignWriteByte_9	10
MemAlignWriteByte.10	challenge	1	1	0	0	link_MemAlignWriteByte_10	107
MemAlignWriteByte.11	challenge	1	1	0	0	-	-
MemAlignWriteByte.12	challenge	1	1	0	0	-	-
MemAlignWriteByte.13	challenge	1	1	0	0	-	-
MemAlignWriteByte.14	air-value	1	1	0	0	link_MemAlignWriteByte_14	-
